Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Christian,Saint Gabriel,Spirit,"Archangel, Messenger",Heaven,Male,Divine Messenger,"Annunciation, Guidance","Trumpet, Lily",White,"Communication, Purity",,,,,
Christian,Saint Ignatius of Loyola,Human,Founder of Jesuits,Spain,Male,Jesuit Priest,"Education, Spiritual Exercises","Sun, Book Symbols","Red, Blue","Education, Spirituality",,María de Loyola,Beltrán de Onaz,,
Christian,Saint Joseph,Human,Guardian and Protector,Nazareth,Male,Just Man,"Protection, Fatherhood","Lily, Carpentry Tools",Brown,"Humility, Protection",,,,,Jesus Christ (Stepfather)
Christian,Saint Mary,Human,Mother of Jesus,Jerusalem,Female,Virgin Mother,"Motherhood, Compassion","Rose, Lilies","Blue, White","Motherhood, Purity",,Anne,Joachim,,Jesus Christ
Christian,Saint Michael,Spirit,"Archangel, Protector",Heaven,Male,Angelic Warrior,"Protection, Defending","Sword, Shield",Blue,"Courage, Strength",,,,,
Alsatian,Saint Odile,Human,Patron Saint,Alsace,Female,Saintly Figure,"Patronage, Miracles",Christian Symbols,White,"Devotion, Compassion",,,,,
Christian,Saint Paul,Human,Apostle and Missionary,Various,Male,Missionary,"Evangelism, Letters","Sword, Book Symbols","Red, White","Evangelism, Courage",,,,,
Christian,Saint Peter,Human,Apostle and First Pope,"Rome, Vatican",Male,Faithful Apostle,"Leadership, Keys","Keys, Papal Symbols","Gold, White","Faith, Leadership",,,,,
Christian,Saint Raphael,Spirit,"Archangel, Healer",Heaven,Male,Divine Healer,"Healing, Guidance","Staff, Fish",Green,"Health, Guidance",,,,,Tobias
Christian,Saint Teresa of Avila,Human,Mystic and Writer,Spain,Female,Mystic Nun,"Prayer, Contemplation","Heart, Quill Pen",White,"Prayer, Spirituality",,Beatriz de Ahumada,Alonso Sánchez de,,
Spanish,Salacia,God,Goddess of Saltwater and the Sea,Iberian Peninsula,Female,Salty and Oceanic,"Saltwater, Sea","Salt, Dolphins","Blue, Silver","Saltwater, Sea",Married,,,Neptune,
Jewish,Samael,Spirit,Angel of Severity or Venom,Heaven,Male,Angel of Death or Poison,"Judgment, Severity, Accuser","Sword, Serpent",Red,"Justice, Consequence",,,,,
Korean,Samshin Halmoni,God,Goddess of Birth and Life,Earth,Female,Protective and Compassionate,"Protection, Childbirth",Protective Aura,White,"Protection, Motherhood",,,,,
Jewish,Sandalphon,Spirit,Archangel of Prayer,Heaven,Male,Deliverer of Prayers to God,"Prayer, Connection, Spiritual Communication","Harp, Wings",White,"Devotion, Communication",,,,,
Indonesian,Sang Hyang Widhi,God,Supreme God in Balinese Hinduism,"Bali, Indonesia",Male,Transcendent and Benevolent,"Creation, Spiritual Harmony","Lotus, Sacred Symbols",White,"Transcendence, Harmony",,,,,
Sami,Sarakka,God,Goddess of the Hearth and Home,Sami Lands,Female,Warm and Nurturing,"Hearth, Home","Hearth, Fire","Red, Yellow","Home, Hearth",,,,,"Many, including hearth spirits"
Hindu,Saraswati,God,"Goddess of knowledge, music, and arts",,Female,Wise and Artistic,"Knowledge, music, arts","Veena, book, swan",White,"Knowledge, artistic expression",Married,,,Brahma,
Assyrian,Sarpanitu,God,Queen of the Gods,Assyria,Female,Queen of the Gods,"Motherhood, Fertility, Queenship","Tiara, Lion","Red, Gold","Motherhood, Queenship",,Lahmu,Lahamu,,"Marduk, Nabu"
Shinto,Sarutahiko,God,Deity,Japan,Male,Deity,"Guidance, Crossroads","Sword, Dog",,"Guidance, Crossroads",,,,,
Roman,Saturn,God,God of Time and Agriculture,Italy,Male,Wise and Agricultural,"Time, agriculture",Sickle,Brown,"Agriculture, patience",,,,,
Baltic,Saule,God,Goddess of the Sun,Sky,Female,Radiant and Warm,"Sun, light","Sun disk, radiant symbols","Gold, yellow","Radiance, warmth",,Baltic,Baltic,,"Many, including Meness"
Siberian,Sayan,God,God of Mountains and Nature,Siberia,Male,Stoic and Powerful,"Mountains, Nature","Mountain Peaks, Trees","Brown, Green","Nature, Strength",,,,,"Many, including spirits of nature"
Inuit,Sedna,God,"Goddess of the Sea, Marine Animals, and Underworld",Arctic Regions,Female,Protective and Enigmatic,"Sea, Marine Life, Underworld","Fish, Sea Creatures","Blue, White","Protection, Abundance, Transformation",,,,,Various sea creatures
Egyptian,Sekhmet,God,Goddess of War and Healing,Egypt,Female,Lioness Warrior,"War, Healing, Protection","Lioness, Sun Disc",Red,"Courage, Healing, Protection",,Nut,Ra,,
Egyptian,Selqet,God,Scorpion Goddess,Egypt,Female,Goddess,"Protection, Healing",Scorpion,Red,Protection,,,,,
Cherokee,Selu,God,Corn Mother and Provider of Nourishment,Cherokee Nation,Female,Agricultural Deity,"Corn, Agriculture, Nourishment","Corn, Harvest Symbols","Yellow, Green","Agriculture, Nourishment",,,,,Children of the Corn
Indonesian,Semar,God,God of Guidance and Protection,Java,Male,Kind and Wise,"Guidance, Protection","Wayang Puppet, Beard",Multicolored,"Guidance, Protection",,,,,
Korean,Seonnyeo,Spirit,"Celestial Maiden, Attendants to the Jade Emperor",Heaven,Female,Graceful and Divine,Serving the Jade Emperor,Heavenly Robes,Multicolored,"Devotion, Service",,,,,
Egyptian,Serqet,God,Scorpion Goddess,Egypt,Female,Goddess,Protection,Scorpion,,Protection,,,,,
Egyptian,Set,God,Chaos God,Egypt,Male,God,"Chaos, Desert",Set Animal (Typhon),Red,Ambition,,Nut,Geb,,"Anubis, Astarte"
Canaanite,Shalim,God,God of dusk,-,Male,Deity,"Dusk, peace",-,-,Dusk and peace,-,-,-,-,Various deities
Assyrian,Shamash,God,God of the Sun and Justice,Assyria,Male,Sun God and Judge,"Sun, Justice, Law","Solar Disk, Shamash Wheel",Gold,"Justice, Truth",,Sin,Enlil,,"Many, including Ishkur"
Sao,Shango,God,"God of thunder, lightning, and fire",Sky,Male,Bold and Energetic,"Thunder, lightning, fire",Double-headed axe,Red,"Power, vitality, passion",,Olodumare,,,Various thunder and fire deities
Yoruba,Shango,God,God of Thunder and Lightning,Yoruba lands,Male,"Powerful, Passionate","Thunder, Dance",Double-headed Axe,Red,"Power, Passion",Married,Yemoja,Olorun,Oshun,"Oya, Ogun"
Canaanite,Shapash,God,Sun goddess,-,Female,Deity,Sun,Sun disk,-,Sun goddess,-,-,-,-,-
Yazidi,Sheikh Adi,Spirit,Spiritual Leader and Saint,Yazidi,Male,Spiritual Leadership,"Guidance, Holiness",,White,Spiritual Leadership,,,,,
Jewish,Shekhinah,God,Divine Presence,Heaven,Female,Nurturing and Protective,"Presence, Divine Revelation, Comfort",Divine Light,White,"Comfort, Guidance",,,,,
Mesopotamian,Shezmu,God,God of Wine,Egypt,Male,God,"Wine, Blood","Wine Grapes, Blood",Red,"Wine, Blood",,,,,
Creek,Shilombish,Spirit,Spirit,Creek Nation,Other,Spirit,Nature,,,Spirit,,,,,
Ainu,Shitakara Kamuy,God,Sea God,Ainu Regions,Male,God,"Sea, Marine Life","Sea, Fish",,"Sea, Marine Life",,,,,
Hindu,Shiva,God,Destroyer god,Cosmic realm,Male,Destructive and benevolent,Destruction and rebirth,"Third eye, trident","Blue, pink","Destruction, rebirth",Married,Parvati,Shiva,"Parvati, Sati","Many, including Ganesha, Kartikeya,"
Albanian,Shtriga,God,Witch-like creatures,Albania,Female,Malevolent and Deceptive,"Darkness, Curses, Transformation","Night, Shadows",Black,"Caution, Avoidance",,,,,
Egyptian,Shu,God,God of Air and Sunlight,Egypt,Male,Protective and Illuminating,"Air, sunlight","Ostrich feather, lion",Gold,"Air, sunlight, protection",Married,,Ra,Tefnut,Nut
Sardinian,Sid Addir,God,God of Healing and Medicine,Sardinia,Male,Healing and Compassionate,"Medicine, well-being",Serpent,Green,"Healing, compassion",,,,,
Buddhist,Siddhartha Gautama,Spirit,Spiritual Teacher,India,Male,Enlightened One,Four Noble Truths,Dharma Wheel,,"Compassion, Nirvana",Married,Maya,Suddhodana,Yasodhara,Rahula
Norse,Sif,God,Goddess of Harvest and Agriculture,Asgard,Female,Nurturing and Abundant,"Harvest, Agriculture","Wheat, Golden Hair",Gold,"Harvest, Abundance",,,Thor,,Ullr
Inuit,Silap Inua,Spirit,Spiritual force within all things,Arctic Regions,Other,Spiritual Essence,"Nature, Spirits, Balance",Spirit within Everything,Varied,"Harmony with Nature, Balance, Connection",,,,,Various Spirits
Slavic,Simargl,God,Deity,Slavic Regions,Male,Deity,"Sun, Fire, Fertility","Fire, Sun",,Fertility,,,,,
Assyrian,Sin,God,God of the Moon,Assyria,Male,Moon God,"Moon, Night",Crescent Moon,Silver,"Mystery, Cycles of Nature",Married,Enlil,Ninlil,Ningal,"Shamash, Ishkur"
Sumerian,Siris,God,Beer,Sumer,Female,Goddess,Beer,,,Beer,,,,,
Norse,Skadi,God,Goddess of Winter and the Hunt,Jotunheim,Female,Independent and Skilled,"Winter, Hunting","Mountains, Skis","White, Blue","Winter, Independence",Married,Thjazi,Not mentioned,Njord,
Iroquois,Skennenrahawi,Human,Culture Hero,Iroquois Nations,Male,Hero,"Peace, Unity","Great Law, Peace Pipe",,"Peace, Unity",,,,,
Iroquois,Sky Woman,God,Primordial Being and Mother of Humanity,Iroquois Confederacy,Female,Primordial Being,"Creation, Motherhood, Humanity",Celestial Symbols,Blue,"Creation, Connection with Humanity",,,,,
Egyptian,Sobek,God,God of Crocodiles and Fertility,Egypt,Male,Fierce and Fertile,"Crocodiles, fertility",Crocodile,Green,"Fertility, protection",,Neith,Set,,
Caribbean,Soucouyant,Spirit,Shapeshifting Vampire Hag,Trinidad and Tobago,Female,Malevolent Spirit,"Bloodsucking, Shapeshifting, Nightmares","Fire, Bats",Red,"Fear, Nightmares",,,,,
Armenian,Spandaramet,God,Goddess of Birth,Armenian Regions,Female,Goddess,"Childbirth, Protection",Protective Symbols,,"Childbirth, Protection",,,,,
Zoroastrian,Spenta,Spirit,Divine Holy Spirits,Zoroastrian,Other,Divine Spirits,Various Aspects,,,Divine Aspects,,,Ahura Mazda,,
Zoroastrian,Spenta Armaiti,Spirit,"Holy devotion, divine wisdom",-,Female,Deity,"Holy devotion, divine wisdom",-,-,"Devotion, Wisdom",-,-,-,-,Various deities
Hopi,Spider Grandmother,God,Creatrix and Weaver of the Web of Life,Hopi Reservation,Female,"Creatrix, Weaver","Creation, Weaving, Life","Spider, Web Symbols",Various,"Creation, Connection with Nature",,,,,
Hopi,Spider Woman,God,Creator,Hopi Mesas,Female,Deity,"Creation, Weaving",Spider,,Wisdom,,,,,
Zoroastrian,Sraosha,God,Yazata of Obedience,Zoroastrian,Male,Divine Obedience,"Obedience, Protector","Wings, Sword",White,"Obedience, Protection",,Anahita,Ahura Mazda,,
Sami,Stallo,Spirit,Malevolent Giants,Sami Lands,Male,Malevolent and Deceptive,"Mischief, Deception",Giant Figurines,Grey,"Mischief, Trickery",,,,,
Croatian,Stribog,God,God of Wind and Air,Croatia,Male,Gentle and Unseen,"Wind, air",Wind Symbols,Sky Blue,"Freedom, change",,,,,
Ligurian,Sua,God,Goddess of the Sun,Liguria,Female,Radiant and Nurturing,"Sun, light",Sun disc,Yellow,"Sun, light, warmth",,,,,
Muisca,Sua,God,Goddess,Muisca Confederation,Female,Goddess,"Water, Fertility","Water, Fertility Symbols",,"Water, Fertility",,,,,
Sumerian,Sud,God,Purification,Sumer,Male,God,Purification,,,Purification,,,,,
Slavic,Sudenitsa,God,Goddess,Slavic Regions,Female,Goddess,"Spring, Fertility",Flowers,,Fertility,,,,,
Tupinambá,Sumé,God,God of Health and Healing,Tupinambá Region,Male,Healing Deity,"Health, Well-being, Medicinal Plants","Medicinal Plants, Healing Icons",Green,"Health, Healing",,,,,
Chinese,Sun Wukong,Human,Monkey King,"Earth, Heaven",Male,Mischievous and wise,"Trickery and magic,","Golden cudgel, cloud","Gold, white","Trickery, magic,",Married,Wangmu,Jade Emperor,"Many, including Jade Rabbit","Many, including Susanoo"
Shinto,Susanoo,God,God of storms and seas,Takamagahara (High Plain of Heaven),Male,Stormy and watery,Storms and water,"Mirror, jade rabbit","Red, blue","Storms, water",Married,"Izanami,",Izanagi,"Many, including Pangu","Many, including Amaterasu, Tsukuyomi,"
Shinto,Susano-o,God,God of storms and sea,Sea,Male,Powerful and Chaotic,"Storms, sea","Dragon, sea waves",Blue,"Power, chaos",,Izanagi,Izanagi,,"Many, including Oyuki"
Arab,Suwa,God,God of the Evening Star,Southern Arabia,Male,Evening Star and Lightbringer,"Evening Star, Light",Star Symbol,Yellow,"Illumination, Guidance",,,,,
Slavic,Svarog,God,God of celestial fire and blacksmithing,Sky,Male,Fiery and Skilled,"Celestial fire, blacksmithing","Anvil, fire","Gold, red","Craftsmanship, fire",,Slavic,Slavic,,"Many, including Dazhbog"
Cheyenne,Sweet Medicine,Spirit,Medicine Spirit,Cheyenne Nation,Other,Spirit,Healing,Medicine Wheel,,Healing,,,,,
Tahitian,Ta'aroa,God,Supreme creator god,Sky,Male,Wise and All-Powerful,"Creation, wisdom",Spiral shell,White,"Wisdom, divine creation",,,,,Various cosmic beings
Fijian,Tagaloa,God,God of creation and ruler of the heavens,Sky,Male,Wise and Benevolent,"Creation, rulership",Sky symbols,Blue,"Wisdom, divine creation",,,,,Various celestial beings
Tuareg,Tagelmust,Spirit,Spirit associated with protection and guidance,Desert,Other,Protective and Guiding,"Protection, guidance",Veil,Varied,"Protection, guidance",,,,,
Berber,Tahart,God,God of mountains and endurance,Mountains,Male,Enduring and Majestic,"Mountains, endurance",Mountain range,Gray,"Strength, endurance, perseverance",,,,,Various mountain and endurance deities
Chinese,Taiyi,God,Primordial deity representing the void,China,Other,Cosmic Balance,"Unity, Balance, Cosmic Order","Circle, Yin-Yang","Black, White","Harmony, Balance, Cosmic Order",,,,,Various Primordial Beings
Totonac,Tajín,God,Deification of the City of Tajín,Mesoamerica,Male,Deified City,"Urban Life, Rituals, Community",City Symbols,,"Urban Life, Community",,,,,
Tuareg,Takamet,God,Goddess of the moon and night,Desert,Female,Illuminating and Mysterious,"Moon, night",Crescent moon,Silver and Black,"Moonlight, mystery, nighttime",,,,,
Arab,Ta'lab,God,God of Hunt,Arabian Peninsula,Male,Hunter and Protector,"Hunting, Wilderness, Protection",Bow and Arrow,Green,"Hunting, Nature",,,,,
Nez Perce,Talako,Spirit,Thunder Spirit,Nez Perce Region,Other,Spirit,Thunder,Thunderbird,,Thunder Spirit,,,,,
Tuareg,Tamazgha,Spirit,Cultural and historical homeland,Desert,Other,Nurturing and Preserving,"Cultural heritage, identity",Tuareg flag,Blue and Yellow,Cultural preservation,,,,,
Assyrian,Tammuz,God,God of Vegetation and Sacrifice,Assyria,Male,God of Vegetation,"Vegetation, Sacrifice, Resurrection","Shepherd's Crook, Grain",Green,"Vegetation, Renewal",,Ishtar,,,
Vietnamese,Tản Viên Sơn Thánh,God,Mountain Deity and Sage,Mountains,Male,Wise and Reclusive,"Mountains, Wisdom","Mountain Peaks, Staff",Brown,"Wisdom, Solitude",,,,,
Tahitian,Tāne Mahuta,God,God of forests and birds,Forests,Male,Caring and Protective,"Forests, birds","Trees, birds",Green,"Conservation, protection",,,,,Various forest beings
Maori,Tāne Mahuta,God,God of forests and birds,Forests,Male,Noble and Protector,"Forests, birds, life","Birds, trees","Green, brown","Nature, life",,Papatuanuku,Ranginui,,"Many, including birds and forest creatures"
Polynesian,Tāne Mahuta,God,God of forests and birds,Forests,Male,Caring and Protective,"Forests, birds","Trees, birds",Green,"Conservation, protection, wisdom",,Papatūānuku,Rangi,,Various forest and bird beings
Polynesian,Tāne-i-te-hokahoka,God,God of forests and birds (alternate form),Forests,Male,Caring and Protective,"Forests, birds","Trees, birds",Green,"Conservation, protection",,Papatūānuku,Rangi,,Various forest beings
Polynesian,Tāne-rore,God,Goddess of the arts and dance,Land,Female,Creative and Graceful,"Arts, dance",Dance implements,Various,Artistic expression,,,,,Various artistic beings
Maori,Tangaroa,God,God of the sea and fertility,Oceans,Male,Powerful and Fertile,"Sea, fertility","Fish, fertility symbols",Blue,"Fertility, marine life",,Papatuanuku,Ranginui,,Sea creatures
Polynesian,Tangaroa,God,God of the sea and marine creatures,"Ocean, Seas",Male,Protective and Nurturing,"Sea life, ocean navigation","Sea, marine life",Blue,Sea-related activities,,,,,Various sea creatures
Polynesian,Tangaroa,God,God of the sea and fish,"Oceans, Seas",Male,Benevolent and Protective,"Sea, fish",Fish,Blue,Harmony with nature,,Papatūānuku,Rangi,,Various sea beings
Berber,Tanit,God,"Goddess of the moon, fertility, and war",Moon,Female,Protective and Fertile,"Moon, fertility, war",Crescent moon,Silver,"Fertility, protection, lunar cycles",,,,,Various lunar and fertility deities
Sardinian,Tanit,God,Mother Goddess,Sardinia,Female,Nurturing and Protective,"Motherhood, protection","Moon, dove",White,"Motherhood, protection",,,,,
Finnish,Tapio,God,Forest,Finland,Male,God,Nature,Forest,Green,Forest,,,,,
Buddhist,Tara,God,Bodhisattva of Liberation,Cosmic,Female,Compassionate Being,"Compassion, Liberation","Lotus, Moon",Green,"Liberation, Compassion",,,,,
Lakota,Tate,Spirit,Wind Spirit,Lakota Nation,Other,Spirit,"Wind, Messenger",Wind Symbols,,"Wind, Messenger",,,,,
Lakota Sioux,Taté,Spirit,Wind Spirit and Messenger between Worlds,Lakota Territory,Male,Wind Deity,"Wind, Communication, Spirituality",Wind Symbols,White,Spiritual Connection,,,,,
Guaraní,Tau,God,God of the Forest and Animal Spirits,Guaraní Region,Male,Forest Deity,"Forests, Animals, Nature","Trees, Animal Symbols","Green, Brown","Harmony with Nature, Animal Spirits",,,,,Animals
Hopi,Tawa,God,Sun god ,Hopi Mesas,Male,Supreme being,creator of the First World,Sun,,Sun god ,,,,,Masauwu
Egyptian,Tawaret,God,Hippo Goddess,Egypt,Female,Goddess,"Fertility, Protection",Hippopotamus,Blue,"Fertility, Protection",,,,,
Polynesian,Tāwhaki,Human,Heroic figure and culture hero,"Land, Sky",Male,Adventurous and Skilled,Cultural achievements,Spear,Various,Pursuit of knowledge,,,Rangi,,Various cultural beings
Maori,Tawhirimatea,God,God of weather and storms,Sky,Male,Unpredictable and Powerful,"Weather, storms","Wind, storm symbols","Blue, white","Weather patterns, strength",,Papatuanuku,Ranginui,,Storm spirits
Polynesian,Tāwhirimātea,God,God of storms and winds,Sky,Male,Powerful and Unpredictable,"Storms, winds",Storm clouds,Gray,Respect for natural forces,,Papatūānuku,Rangi,,Various storm beings
Yazidi,Tawûsê Melek,Spirit,Peacock Angel,Yazidi,Male,Divine Beauty,"Beauty, Cosmic Harmony",Peacock,Blue,"Beauty, Harmony",,,,,
Berber,Tefnut,God,Goddess of moisture and dew,Nature,Female,Nurturing and Refreshing,"Moisture, dew",Dewdrop,Blue,"Refreshment, vitality, growth",,,,,Various nature and water deities
Tuareg,Tefnut,God,Goddess of rain and fertility,Desert,Female,Nurturing and Life-Giving,"Rain, fertility",Rain cloud,Blue and Silver,"Fertility, life-giving rain",,,,,
Egyptian,Tefnut,God,Goddess of Moisture and Dew,Egypt,Female,Gentle and Nurturing,"Moisture, dew",Lioness,Light Blue,"Moisture, fertility, renewal",Married,,,Shu,Nut
Inuit,Tekkeitsertok,Spirit,Spirit of the Wind,Arctic Regions,Male,Swift and Gentle,"Wind, Air",Wind Symbols,"White, Grey","Swiftness, Freedom",,,,,
Hittite,Telipinu,God,God of Vegetation,Hittite Regions,Male,God,Agriculture,"Grain, Plough",Green,Agriculture,,,,,
Roman,Tellus,God,Goddess of the Earth,Italy,Female,Earthy and Fertile,"Earth, fertility",Earth Globe,Brown,"Fertility, grounding",,,,,
Mongolian,Tengri,God,"Supreme Sky God, Eternal Blue Heaven",Celestial Realm,Male,"Eternal, Benevolent","Sky, Creation","Blue Sky, Falcon",Blue,"Eternal, Sky Worship",,,,,
Roman,Terminus,God,God of Boundaries,Italy,Male,Stern and Unyielding,"Boundaries, limits",Boundary Stone,Grey,"Boundaries, limits",,,,,
Nahuatl,Tezcatlipoca,God,Earth goddess,Aztlán,Female,Moon and night,"Moon and night,","Sun disk, corn cob","Gold, green","Moon, night",Married,Viracocha,Tezcatlipoca,"Many, including Tecciztecatl","Many, including Tezcatlipoca, Xochiquetzal"
Toltec,Tezcatlipoca,God,God of Night and Sorcery,Mesoamerica,Male,God of Fate and Discord,"Night, Sorcery, Fate","Smoking Mirror, Jaguar",Black,"Fate, Discord",,,,,
Vietnamese,Thánh Gióng,Human,"Heroic Figure, Divine Child",Earth,Male,Courageous and Heroic,"Protection, Heroism","Horse, Bow",Red,"Heroism, Protection",,,,,
Greek,The Muses,God,Goddesses of the Arts and Sciences,Mount Helicon,Female,Inspiring and Creative,"Arts, sciences","Lyre, scrolls",Various,"Inspiration, creativity, knowledge",,Mnemosyne,Zeus,,Various
Etruscan,Thesan,God,Goddess of Dawn and New Beginnings,Etruria,Female,Radiant and Renewing,"Dawn, new beginnings",Sun disc,Gold,"New beginnings, light",,Uni,Tinia,,
Norse,Thor,God,God of thunder,Asgard,Male,Thunderous and strong,Thunder and storms,"Mjolnir (hammer), lightning","Red, silver, black","Strength, protection",Married,Frigg,Odin,"Sif, Jarnsaxa,","Many, including Magni, Modi"
Norse ,Thor,God,"God of thunder, associated with protection",Northern Europe,Male,Deity,"Thunder, Protection, Strength",Hammer (Mjölnir),Red,"Strength, Protection, Courage",-,Jord,Odin,Sif,Various deities
Egyptian,Thoth,God,God of Wisdom and Writing,Egypt,Male,Wise and Intellectual,"Wisdom, writing","Ibis, writing tools",Dark Blue,"Wisdom, knowledge, communication",,,,,
Caribbean,Ti Jean Petro,Spirit,Trickster Spirit,Haiti,Male,Mischievous Trickster,"Mischief, Deception, Chaos","Horns, Impish Appearance","Red, Black","Chaos, Mischief",,,,,
Caribbean,Ti Malice,Spirit,Trickster and Folkloric Character,"Haiti, Trinidad",Male,"Trickster, Mischief","Trickery, Folklore, Humor",Clever Disguises,Various,"Humor, Trickery",,,,,
Sumerian,Tiamat,God,Chaos,Sumer,Female,Goddess,Chaos,,,Chaos,,,,,
Aboriginal,Tiddalik,Anthropomorphism,Frog who drank all the water,Waterways,Male,Greedy and Disruptive,"Chaos, water scarcity",Frog,Green,"Moderation, sharing",,,,,Various water creatures
Tuareg,Tifinagh,Spirit,Ancient script and symbolic language,Desert,Other,Symbolic and Timeless,"Cultural identity, communication",Script,Varied,"Language, cultural identity",,,,,
Tuareg,Tihouadaghen,Anthropomorphism,Sacred mountain with spiritual significance,Desert,Other,Sacred and Mystical,"Spiritual retreat, meditation",Mountain,Varied,"Spiritual connection, meditation",,,,,
Berber,Tikari,God,God of justice and moral order,Courts,Male,Just and Fair,"Justice, moral order",Scales,White,"Justice, fairness, moral integrity",,,,,Various justice and moral deities
Tuareg,Tin Hinan,Human,Legendary ancestral queen and matriarch,Desert,Female,Wise and Maternal,"Ancestral legacy, leadership",Tamajaq symbol,Blue and White,"Ancestral legacy, leadership",,,,,
Etruscan,Tinia,God,"Supreme Deity,  god of the sky and the highest god",Sky,Male,Supreme Deity,"Creation, life","Sun, moon","Gold, silver","Creation, life",,,,,
Berber,Tinjis,God,Goddess of love and beauty,Love,Female,Loving and Beautiful,"Love, beauty",Flowers,Pink,"Love, beauty, romantic relationships",,,,,Various love and beauty deities
Armenian,Tir,God,God of Literature,Armenian Regions,Male,God,"Wisdom, Literature","Scroll, Book",,"Wisdom, Literature",,,,,
Greek,Tiresias,Human,"Prophet and seer, experienced both genders",Greece,Other,"Prophet, Seer","Prophecy, Wisdom, Transformation","Staff, Blindfold",Varied,"Wisdom, Prophecy, Understanding",,Everes,Chariclo,,Manto (Daughter)
Zoroastrian,Tishtrya (Tishtar),God,God of the star Sirius,-,Male,Deity,"Star Sirius, rainfall",-,-,Associated with rainfall,-,-,-,-,Various deities
Berber,Tiziri,God,Goddess of light and illumination,Light,Female,Radiant and Illuminating,"Light, enlightenment",Torch,Yellow,"Knowledge, wisdom, spiritual light",,,,,Various light and knowledge deities
Aztec,Tlaloc,God,Goddess of war and sacrificial bloodletting,Templo Mayor (Great Temple),Female,Warrior and sacrificial,War and sacrificial bloodletting,"Jaguar, flayed skin","Gold, black","War, sacrificial bloodletting",Married,Chimalma,"Coatlicue,","Many, including Coatlicue","Many, including Manco Capac, Mama Ocllo,"
Nahuatl,Tlaloc,God,Moon goddess,Aztlán,Female,Mirror and sorcery,Sorcery and magic,"Moon disk, rabbit","Silver, black","Sorcery, magic",Married,Xochiquetzal,Tezcatlipoca,"Many, including Xochiquetzal","Many, including Xochiquetzal"
Indonesian,Tlaloc,God,God of Rain and Water,"Heaven, Underworld",Male,Powerful and Fertile,"Rain, Water","Goggles, Serpent",Blue,"Fertility, Water",,,,,
Toltec,Tlaloc,God,God of Rain and Fertility,Mesoamerica,Male,Rain-bringer and Fertility,"Rain, Agriculture, Fertility","Goggle Eyes, Serpent",Blue,"Rain, Fertility",,,,,
Aztec,Tlazolteotl,God,Goddess of Filth and Purification,Mesoamerica,Female,Purifying Goddess,"Filth, Purification, Fertility","Jade Mask, Broom",Red,"Purification, Rebirth, Fertility",,Coatlicue,,,Various Deities
Sioux,Tore,Spirit,Spirit,Sioux Nation,Other,Spirit,"Nature, Protector",Protector Symbols,,"Nature, Protector",,,,,
Occitan,Toreilles,Spirit,Water Nymph,Occitania,Female,Water Nymph,"Rivers, Springs",Water Symbols,Blue,Connection with Water,,,,,
Spanish,Trebaruna,God,Goddess of War and Fortresses,Gallaecia,Female,Warrior and Protective,"War, Fortresses","Sword, Shield","Red, Gold","War, Fortresses",,,,,
San,Trickster Figures,God,Trickery and Mischief,,Other,Trickster,"Trickery, mischief","Various, mischievous symbols",Various,"Trickery, mischief",,,,,
Croatian,Triglav,God,"Three-Headed God of Sky, Earth, and Underworld",Croatia,Male,Unity and Cosmic Balance,"Sky, earth, underworld",Three Heads,White,"Cosmic balance, unity",,,,,
Spanish,Triton,God,Messenger of the Sea,Iberian Peninsula,Male,Swift and Playful,"Sea, Messenger","Conch Shell, Fish Tail","Blue, Silver","Sea, Messenger",,Poseidon,Amphitrite,,
Navajo,Tsohanoai,God,"Sun Spirit, Sun god",Navajo Nation,Male,Spirit,"Everyday, he crosses the sky, carrying the Sun on his back",Sun,,"Sun Spirit, Sun god",,,,, Nayenezgani (Killer of Enemies) and Tobadzistsini (Child of Water)
Shinto,Tsukuyomi,God,"God of the moon, sibling of Amaterasu",Sky,Male,Serene and Mysterious,"Moon, night","Moon, arrow",Silver,"Serenity, mystery",,Izanagi,Izanagi,,"Many, including Uke Mochi"
Cherokee,Tsul 'Kalu,Anthropomorphism,Giant,Cherokee Nation,Male,Giant,Nature,Giant,,Giant,,,,,
Achuar,Tsunki,Spirit,Water Spirit and Guardian of Rivers,Amazon Rainforest,Male,Aquatic Guardian,"Rivers, Waters, Protection",Water Symbols,Blue,"River Protection, Aquatic Life",,,,,
Tahitian,Tu,God,God of war and human activities,Land,Male,Fierce and Warrior-like,"War, human activities",Weapons,Red,"Courage, discipline",,,,,Various war-related beings
Chinese,Tu Di Gong,God,"Earth Deity, Protector of Land",Earth,Male,Benevolent and Protector,"Land, Agriculture",Land Symbol,Brown,Protection of Land,,,,,
Inuit,Tulugaarjuk,Spirit,Spirit of the Ice and Winter,Arctic Regions,Male,Cold and Serene,"Ice, Winter",Icicles,"Blue, White","Resilience, Adaptation",,,,,Spirits of winter and ice
Polynesian,Tūmatauenga,God,God of war and human activity,Earth,Male,Warrior and Protector,"War, human endeavors",Weapons,Red,"Valor, discipline",,Papatūānuku,Rangi,,Various war-related beings
Polynesian,Tūmatauenga,God,God of war and human activities,Land,Male,Fierce and Warrior-like,"War, human activities",Weapons,Red,"Courage, self-discipline",,Papatūānuku,Rangi,,Various war-related beings
