Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
chinese,yu shi,god,"jade maiden, guardian of the jade emperor",heaven,other,loyal and faithful,"guardian, loyal service",jade rabbit,white,"loyalty, guardianship",,,,,,,
nenets,yugryla,god,god of the mountains and rocks,nenets region,male,solid and majestic,"mountains, rocks","mountain peaks, stones","grey, brown","strength, stability",,,,,"many, including rock spirits",,
nenets,yylgyt-yn' nyan',god,goddess of the moon and night,nenets region,female,mysterious and protective,"moon, night","moon, owl",silver,"mystery, protection",,,num,,"many, including stars and spirits",,
persian,zam,god,god of the earth and harvest,persia,male,fertile and abundant,"earth, harvest",plowed field,brown,"fertility, harvest",,,,,,,
zoroastrian,zam,god,goddess of the earth,-,female,deity,earth,-,-,earth,-,-,-,-,various deities,,
sara,zambiri,spirit,"leopard spirit, embodiment of stealth",sara homeland,other,stealthy and cunning,"stealth, agility",leopard,spotted,"cunning, agility",,,,,,,
albanian,zana,anthropomorphism,fairy-like beings,albania,other,benevolent and enchanting,"nature, forest, protection","flowers, forest",green,"nature, harmony",,,,,,,
mongolian,zanabazar,god,"god of wisdom, art, and culture",earth,male,wise and creative,"wisdom, arts, culture","buddhist symbols, brush",yellow,"wisdom, cultural enrichment",,gazar eej,white old man,,,,
chinese,zao jun,god,"kitchen god, guardian of the household",household,male,guardian of the kitchen,"household, hearth","stove, kitchen tools",red,"household harmony, blessings",,,,,,,
zoroastrian,zarathustra,human,founder of zoroastrianism,persia,other,"visionary, lawgiver, historical/prophet","zoroastrianism, philosophy",faravahar,,"truth, good vs evil, wisdom, philosophy",,dughdova,pourushaspa,,,,
greek,zeus,god,sky god,olympus,male,mighty ruler,ruling,thunderbolt,"sky blue, white, gold","leadership, justice",married,rhea,cronus,"many, including hera","ares, hephaestus, athena, ap ollo, artemis, hermes, dionysus, persephone, heracles, helen of troy",,
chinese,zhong kui,god,god of exorcism and protection,,male,fearless and protective,"exorcism, protection","sword, scroll","red, black","protection, bravery",,,,,,,
chinese,zhu rong,god,god of fire and south,"heaven, fire",male,passionate and fiery,"fire, south","fire, spear",red,"passion, fire",,,,,,,
chinese,zhurong,god,god of fire and south,fire,male,heroic and fire-wielding,"fire, heroism","fire, spear",red,"heroism, fire",,,,,,,
luba,zinjamba,god,rain god,luba kingdom,male,god,"rain, agriculture","rain, corn",blue,"rain, agriculture",,,,,,,
lakota,zintkala nuni,spirit,bird spirit,lakota nation,other,spirit,"nature, protector",bird symbols,,"nature, protector",,,,,,,
slavic,zirnitra,god,dragon deity,slavic regions,other,deity,"water, fertility",dragon,,fertility,,,,,,,
hittite,zitharwa,god,goddess of beer,hittite regions,female,goddess,"beer, fertility",beer jug,,"beer, fertility",,,,,,,
lakota,zizilia,spirit,deer spirit,lakota nation,other,spirit,"nature, grace",deer symbols,,"nature, grace",,,,,,,
chinese,zong kui,god,"ghost king, protector against evil spirits",underworld,other,fearless and guardian,"protection, banishing evil spirits","sword, armor",black,"fearlessness, protection",,zong's mother,zong's father,,,,
slavic,zorya,god,triple goddesses of the dawn and night,sky,female,watchful and protective,"day, night, protection","morning star, evening star","blue, white","protection, balance",,dazhbog,simargl,,,,
,,,,,other,,,,,,,,,,,,
,,,,,other,,,,,,,,,,,,
,,,,,other,,,,,,,,,,,,
achuar,nunkui,god,"earth goddess, teacher of agriculture to women",amazon rainforest,female,"nurturing, wise","agriculture, earth, women","soil, plants",green,"fertility, nurturing, knowledge",,,,,,,
achuar,etsa,god,"sun god, source of light and energy",amazon rainforest,male,"powerful, regulating","light, energy, cosmic balance",sun,yellow,"knowledge, order, energy",,,,,,,
achuar,wakan,spirit,"dream spirit, messenger of visions during rituals",amazon rainforest,other,"mystical, visionary","dreams, visions, jaguar","dream, jaguar",dark,"spiritual knowledge, guidance",,,,,,,
achuar,iwianch,spirit,wandering spirits of the dead or forest beings,amazon rainforest,other,"ambiguous, varied","death, forest, transformation","shadows, forest",dark,"respect for the dead, caution",,,,,,,
achuar,nungui,god,goddess of gardens and fertility,"gardens, earth",female,"nurturing, fertile","agriculture, plants","earth, seeds",green,"fertility, abundance",,,,,,,
achuar,etsa,spirit,personification of the sun,"sky, daylight",other,"radiant, powerful","light, warmth, time",sun,yellow,"life force, rhythm of day",,,,,,,
achuar,nunkui,god,"earth goddess, teacher of agriculture","earth, forest",female,"wise, maternal","planting, women’s knowledge","plants, clay",brown,"sustainability, teaching",,,,,,,
achuar,wakani,spirit,spiritual force within all beings (life force),internal/spiritual,other,"inherent, sacred","inner strength, spiritual path","heart, breath",invisible,"vitality, spiritual strength",,,,,,,
greek,aphrodite,god,"goddess of beauty, love, desire, and pleasure",,female,,olympian,,,,,,,,,,ἀφροδίτη
greek,apollo,god,"god of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery",,male,,olympian,,,,,,,,,,ἀπόλλων
greek,ares,god,"god of courage, war, bloodshed, and violence",,male,,olympian,,,,,,,,,,ἄρης
greek,artemis,god,"virgin goddess of the hunt, wilderness, animals, the moon and young girls",,female,,olympian,,,,,,,,,,ἄρτεμις
greek,athena,god,"goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts",,female,,olympian,,,,,,,,,,ἀθηνᾶ
greek,demeter,god,"goddess of grain, agriculture, harvest, growth, and nourishment",,female,,olympian,,,,,,,,,,δημήτηρ
greek,dionysus,god,"god of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater",,male,,olympian,,,,,,,,,,διόνυσος
greek,hades,god,god and king of the underworld and the dead,,male,,olympian,,,,,,,,,,ᾅδης
greek,hephaestus,god,"god of fire, metalworking, and crafts",,male,,olympian,,,,,,,,,,ἥφαιστος
greek,hera,god,"queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires",,female,,olympian,,,,,,,,,,ἥρα
greek,hermes,god,"god of boundaries, travel, communication, trade, language, thieves and writing",,male,,olympian,,,,,,,,,,ἑρμῆς
greek,hestia,god,"virgin goddess of the hearth, home, and chastity",,female,,olympian,,,,,,,,,,ἑστία
greek,poseidon,god,"god of the sea, rivers, floods, droughts, and earthquakes",,male,,olympian,,,,,,,,,,ποσειδῶν
greek, zeus,god,"king of the gods, ruler of mount olympus, and god of the sky, weather, thunder, lightning, law, order, and justice",,male,,olympian,,,,,,,,,,ζεύς
greek,achlys,god," goddess of poisons, and the personification of misery and sadness",,female,,primordial,,,,,,,,,,ἀχλύς
greek,aether,god, god of light and the upper atmosphere,,male,,primordial,,,,,,,,,,αἰθήρ
greek,aion,god," god of eternity, personifying cyclical and unbounded time",,male,,primordial,,,,,,,,,,αἰών
greek,ananke,god," goddess of inevitability, compulsion, and necessity",,female,,primordial,,,,,,,,,,ἀνάγκη
greek,chaos,god, personification of nothingness from which all of existence sprang,,other,,primordial,,,,,,,,,,χάος
greek,chronos,god," god of empirical time, sometimes equated with aion",,male,,primordial,,,,,,,,,,χρόνος
greek,erebus,god, god of darkness and shadow,,male,,primordial,,,,,,,,,,ἔρεβος
greek,eros,god, god of love and attraction,,male,,primordial,,,,,,,,,,ἔρως
greek,gaia,god,personification of the earth (mother earth); mother of the titans,,male,,primordial,,,,,,,,,,γαῖα
greek,hemera,god, goddess of day,,female,,primordial,,,,,,,,,,ἡμέρα
greek,hypnos,god,god of sleep,,male,,primordial,,,,,,,,,,ὕπνος
greek,nemesis,god, goddess of retribution,,female,,primordial,,,,,,,,,,νέμεσις
greek,nesoi,god, goddesses of islands,,female,,primordial,,,,,,,,,,νῆσοι
greek,nyx,god, goddess of night,,female,,primordial,,,,,,,,,,νύξ
greek,ourea,god, gods of mountains,,male,,primordial,,,,,,,,,,οὔρεα
greek,phanes,god, god of procreation in the orphic tradition,,male,,primordial,,,,,,,,,,φάνης
greek,pontus,god," god of the sea, father of the fish and other sea creatures",,male,,primordial,,,,,,,,,,πόντος
greek,tartarus,god," god of the deepest, darkest part of the underworld, the tartarean pit (which is also referred to as tartarus itself)",,male,,primordial,,,,,,,,,,τάρταρος
greek,thalassa,god,personification of the sea and consort of pontus,,other,,primordial,,,,,,,,,,θάλασσα
greek,thanatos,god,god of death,,male,,primordial,,,,,,,,,,θάνατος
greek,uranus,god, god of the heavens (father sky); father of the titans,,male,,primordial,,,,,,,,,,οὐρανός
greek,coeus,titan,titan of intellect and the axis of heaven around which the constellations revolved,,male,,twelve titan,,,,,,,,,,κοῖος
greek,crius,titan," least individualized of the twelve titans, he is the father of astraeus, pallas, and perses",,male,,twelve titan,,,,,,,,,,κρεῖος
greek,cronus,titan,titan of harvests and personification of destructive time,,male,,twelve titan,,,,,,,,,,κρόνος
greek,hyperion,titan,titan of light,,male,,twelve titan,,,,,,,,,,ὑπερίων
greek,iapetus,titan,"titan of mortality and father of prometheus, epimetheus, menoetius, and atlas",,male,,twelve titan,,,,,,,,,,ἰαπετός
greek,mnemosyne,titan,"titaness of memory and remembrance, and mother of the nine muses",,female,,twelve titan,,,,,,,,,,mνημοσύνη
greek,oceanus,titan,"titan of the all-encircling river oceans around the earth, the fount of all the earths fresh-water",,male,,twelve titan,,,,,,,,,,ὠκεανός
greek,phoebe,titan,"titaness of the bright intellect and prophecy, and consort of koios",,female,,twelve titan,,,,,,,,,,φοίβη
greek,rhea,titan,"titaness of fertility, motherhood and the mountain wilds",,female,,twelve titan,,,,,,,,,,ῥέα
greek,tethys,titan,"titaness of fresh-water, and the mother of the rivers, springs, streams, fountains, and clouds",,female,,twelve titan,,,,,,,,,,τηθύς
greek,theia,titan,titaness of sight and the shining light of the clear blue sky,,female,,twelve titan,,,,,,,,,,θεία
greek,themis,titan,titaness of divine law and order,,female,,twelve titan,,,,,,,,,,θέμις
greek,asteria,titan,titaness of nocturnal oracles and falling stars,,female,,other titan,,,,,,,,,,ἀστερία
greek,astraeus,titan,"titan of dusk, stars, and planets, and the art of astrology",,male,,other titan,,,,,,,,,,ἀστραῖος
greek,atlas,titan,titan forced to carry the heavens upon his shoulders by zeus,,male,,other titan,,,,,,,,,,ἄτλας
greek,dione,titan,titaness of the oracle of dodona,,female,,other titan,,,,,,,,,,διώνη
greek,helios,titan,titan of the sun and guardian of oaths,,male,,other titan,,,,,,,,,,ἥλιος
greek,selene,titan,titaness of the moon,,female,,other titan,,,,,,,,,,σελήνη
greek,eos,titan,titaness of the dawn,,female,,other titan,,,,,,,,,,ἠώς
greek,epimetheus,titan,titan of afterthought and the father of excuses,,male,,other titan,,,,,,,,,,ἐπιμηθεύς
greek,lelantos,titan, titan father of the nymph aura,,female,,other,,,,,,,,,,λήλαντος
greek,leto,titan,"titaness of motherhood and mother of the twin olympians, artemis and apollo",,female,,other titan,,,,,,,,,,λητώ
greek,menoetius,titan,"titan of violent anger, rash action, and human mortality",,male,,other titan,,,,,,,,,,μενοίτιος
greek,metis,titan,"titaness of good counsel, advice, planning, cunning, craftiness, and wisdom",,female,,other titan,,,,,,,,,,μῆτις
greek,pallas,titan,titan of warcraft,,male,,other titan,,,,,,,,,,πάλλας
greek,perses,titan,titan of destruction,,male,,other titan,,,,,,,,,,πέρσης
greek,prometheus,titan,"titan of forethought and crafty counsel, and creator of mankind",,male,,other titan,,,,,,,,,,προμηθεύς
greek,styx,titan,titaness of the underworld river styx and personification of hatred,,female,,other titan,,,,,,,,,,στύξ
greek,adephagia,personification,spirit of satiety and gluttony,,other,,personification,,,,,,,,,,ἀδηφαγία
greek,adikia,personification,spirit of injustice and wrongdoing,,other,,personification,,,,,,,,,,ἀδικία
greek,aergia,personification,"spirit of idleness, laziness, indolence and sloth",,other,,personification,,,,,,,,,,ἀεργία
greek,agathodaemon,personification,spirit  of the vineyards and grainfields,,other,,personification,,,,,,,,,,ἀγαθοδαίμων
greek,agon,personification,"spirit of contest, who possessed an altar at olympia, site of the olympic games",,other,,personification,,,,,,,,,,ἀγών
greek,aidos,personification,"spirit of modesty, reverence and respect",,other,,personification,,,,,,,,,,αἰδώς
greek,aisa,personification,personification of lot and fate,,other,,personification,,,,,,,,,,αἴσα
greek,alala,personification,spirit of the war cry,,other,,personification,,,,,,,,,,ἀλαλά
greek,alastor,personification,spirit of blood feuds and vengeance,,other,,personification,,,,,,,,,,ἀλάστωρ
greek,aletheia,personification,"spirit of truth, truthfulness and sincerity",,other,,personification,,,,,,,,,,ἀλήθεια
greek,achos,personification,spirit of trouble and distress (algea; ἄλγεα),,other,,personification,,,,,,,,,,ἄχος
greek,ania,personification,spirit of ache and anguish (algea; ἄλγεα),,other,,personification,,,,,,,,,,ἀνία
greek,lupe,personification,"spirit of pain, grief, and sadness (algea; ἄλγεα)",,other,,personification,,,,,,,,,,λύπη
greek,alke,personification,spirit of prowess and courage (one of the machai),,other,,personification,,,,,,,,,,ἀλκή
greek,amechania,personification,spirit of helplessness and want of means,,other,,personification,,,,,,,,,,ἀμηχανία
greek,the amphilogiai,personification,"spirits of disputes, debate, and contention",,other,,personification,,,,,,,,,,ἀμφιλογίαι
greek,anaideia,personification,"spirit of ruthlessness, shamelessness, and unforgivingness",,other,,personification,,,,,,,,,,ἀναίδεια
greek,the androktasiai,personification,spirits of battlefield slaughter,,other,,personification,,,,,,,,,,ἀνδροκτασίαι
greek,angelia,personification,"spirit of messages, tidings and proclamations",,other,,personification,,,,,,,,,,ἀγγελία
greek,apate,personification,"spirit of deceit, guile, fraud and deception",,other,,personification,,,,,,,,,,ἀπάτη
greek,apheleia,personification,spirit of simplicity,,other,,personification,,,,,,,,,,ἀφέλεια
greek,the arae,personification,spirits of curses,,other,,personification,,,,,,,,,,ἀραί
greek,arete,personification,"spirit of virtue, excellence, goodness, and valour",,other,,personification,,,,,,,,,,ἀρετή
greek,atë,personification,"spirit of delusion, infatuation, blind folly, recklessness, and ruin",,other,,personification,,,,,,,,,,ἄτη
greek,bia,personification, personification of force and raw energy,,other,,personification,,,,,,,,,,"βία ""violence"""
greek,caerus,personification,spirit of opportunity,,other,,personification,,,,,,,,,,καιρός
greek,corus,personification,spirit of surfeit,,other,,personification,,,,,,,,,,κόρος
greek,deimos,personification,"spirit of fear, dread, and terror",,other,,personification,,,,,,,,,,δεῖμος
greek,dikaiosyne,personification,spirit of justice and righteousness,,other,,personification,,,,,,,,,,δικαιοσύνη
greek,dike,personification,"spirit of justice, fair judgement, and the rights established by custom and law",,other,,personification,,,,,,,,,,δίκη
greek,dolos,personification,"spirit of trickery, cunning deception, craftiness, treachery, and guile",,other,,personification,,,,,,,,,,δόλος
greek,dysnomia,personification,spirit of lawlessness and poor civil constitution,,other,,personification,,,,,,,,,,δυσνομία
greek,dyssebeia,personification,spirit of impiety,,other,,personification,,,,,,,,,,δυσσέβεια
greek,eiresione,personification,personification of the olive branch,,other,,personification,,,,,,,,,,ειρεσιώνη
greek,ekecheiria,personification,"spirit of truce, armistice, and the cessation of all hostilities; honoured at the olympic games",,other,,personification,,,,,,,,,,ἐκεχειρία
greek,eleos,personification,"spirit of mercy, pity, and compassion",,other,,personification,,,,,,,,,,ἔλεος
greek,elpis,personification,spirit of hope and expectation,,other,,personification,,,,,,,,,,ἐλπίς
greek,epiphron,personification,"spirit of prudence, shrewdness, thoughtfulness, carefulness, and sagacity",,other,,personification,,,,,,,,,,ἐπίφρων
greek,eris,personification,"spirit of strife, discord, contention, and rivalry",,other,,personification,,,,,,,,,,ἔρις
greek,anteros,personification,god of requited love,,male,,personification,,,,,,,,,,ἀντέρως
greek,hedylogos,personification,god of sweet talk and flattery,,male,,personification,,,,,,,,,,ἡδύλογος
greek,himeros,personification,god of sexual desire,,male,,personification,,,,,,,,,,ἵμερος
greek,pothos,personification,"god of sexual longing, yearning, and desire",,male,,personification,,,,,,,,,,πόθος
greek,eucleia,personification,spirit of good repute and glory,,other,,personification,,,,,,,,,,εὔκλεια
greek,eulabeia,personification,"spirit of discretion, caution, and circumspection",,other,,personification,,,,,,,,,,εὐλάβεια
greek,eupheme,personification,"spirit of words of good omen, acclamation, praise, applause, and shouts of triumph",,other,,personification,,,,,,,,,,εὐφήμη
greek,eupraxia,personification,spirit of well-being,,other,,personification,,,,,,,,,,eὐπραξία
greek,eusebeia,personification,"spirit of piety, loyalty, duty, and filial respect",,other,,personification,,,,,,,,,,eὐσέβεια
greek,euthenia,personification,"spirit of prosperity, abundance, and plenty",,other,,personification,,,,,,,,,,εὐθενία
greek,gelos,personification,spirit of laughter,,other,,personification,,,,,,,,,,γέλως
greek,geras,personification,spirit of old age,,other,,personification,,,,,,,,,,γῆρας
greek,harmonia,personification,goddess of harmony and concord,,female,,personification,,,,,,,,,,ἁρμονία
greek,hedone,personification,"spirit of pleasure, enjoyment, and delight",,other,,personification,,,,,,,,,,ἡδονή
greek,heimarmene,personification,personification of share destined by fate,,other,,personification,,,,,,,,,,εἵμαρμένη
greek,homados,personification,spirit of the din of battle,,other,,personification,,,,,,,,,,ὅμαδος
greek,homonoia,personification,"spirit of concord, unanimity, and oneness of mind",,other,,personification,,,,,,,,,,ὁμόνοια
greek,horkos,personification,spirit of oaths,,other,,personification,,,,,,,,,,ὅρκος
greek,horme,personification,"spirit of impulse or effort (to do a thing), eagerness, setting oneself in motion, and starting an action",,other,,personification,,,,,,,,,,ὁρμή
greek,hybris,personification,spirit of outrageous behaviour,,other,,personification,,,,,,,,,,ὕβρις
greek,the hysminai,personification,spirits of fighting and combat,,other,,personification,,,,,,,,,,ὑσμῖναι
greek,ioke,personification,spirit of pursuit in battle,,other,,personification,,,,,,,,,,ἰωκή
greek,kakia,personification,spirit of vice and moral badness,,other,,personification,,,,,,,,,,kακία
greek,the keres,personification,spirits of violent or cruel death,,other,,personification,,,,,,,,,,κῆρες
greek,koalemos,personification,spirit of stupidity and foolishness,,other,,personification,,,,,,,,,,κοάλεμος
greek,kratos,personification,"spirit of strength, might, power, and sovereign rule",,other,,personification,,,,,,,,,,κράτος
greek,kydoimos,personification,"spirit of the din of battle, confusion, uproar, and hubbub",,other,,personification,,,,,,,,,,κυδοιμός
greek,lethe,personification,"spirit of forgetfulness and oblivion, and of the river of the same name",,other,,personification,,,,,,,,,,λήθη
greek,limos,personification,spirit of hunger and starvation,,other,,personification,,,,,,,,,,λιμός
greek,the litae,personification,spirits of prayer,,other,,personification,,,,,,,,,,λιταί
greek,lyssa,personification,"spirit of rage, fury and rabies in animals",,other,,personification,,,,,,,,,,λύσσα
greek,the machai,personification,spirits of fighting and combat,,other,,personification,,,,,,,,,,μάχαι
greek,mania,personification,"spirit or spirits of madness, insanity, and frenzy",,other,,personification,,,,,,,,,,μανία
greek,clotho,personification,spinner of the life thread (fates; μοίραι),,other,,personification,,,,,,,,,,κλωθώ
greek,lachesis,personification,measurer of the life thread (fates; μοίραι),,other,,personification,,,,,,,,,,λάχεσις
greek,atropos,personification,severer of the life thread (fates; μοίραι),,other,,personification,,,,,,,,,,άτροπος
greek,momus,personification,"spirit of mockery, blame, censure and stinging criticism",,other,,personification,,,,,,,,,,μῶμος
greek,moros,personification,spirit of doom,,other,,personification,,,,,,,,,,μόρος
greek,the neikea,personification,"spirits of quarrels, feuds and grievances",,other,,personification,,,,,,,,,,τὰ νείκη
greek,nike,personification,goddess of victory,,female,,personification,,,,,,,,,,νίκη
greek,nomos,personification,spirit of law,,other,,personification,,,,,,,,,,νόμος
greek,oizys,personification,spirit of woe and misery,,other,,personification,,,,,,,,,,ὀϊζύς
greek,the oneiroi,personification,dreams,,other,,personification,,,,,,,,,,ὄνειροι
greek,palioxis,personification,"spirit of backrush, flight and retreat from battle",,other,,personification,,,,,,,,,,παλίωξις
greek,peitharchia,personification,spirit of discipline,,other,,personification,,,,,,,,,,πειθαρχία
greek,peitho,personification,spirit of persuasion and seduction,,other,,personification,,,,,,,,,,πειθώ
greek,penia,personification,spirit of poverty and need,,other,,personification,,,,,,,,,,πενία
greek,penthus,personification,"spirit of grief, mourning, and lamentation",,other,,personification,,,,,,,,,,πένθος
greek,pepromene,personification,"personification of the destined share, similar to heimarmene",,other,,personification,,,,,,,,,,πεπρωμένη
greek,pheme,personification,"spirit of rumour, report, and gossip",,other,,personification,,,,,,,,,,φήμη
greek,philophrosyne,personification,"spirit of friendliness, kindness, and welcome",,other,,personification,,,,,,,,,,φιλοφροσύνη
greek,philotes,personification,"spirit of friendship, affection, and sexual intercourse",,other,,personification,,,,,,,,,,φιλότης
greek,phobos,personification,"spirit of panic fear, flight, and battlefield rout",,other,,personification,,,,,,,,,,φόβος
greek,the phonoi,personification,"spirits of murder, killing, and slaughter",,other,,personification,,,,,,,,,,φόνοι
greek,phrike,personification,spirit of horror and trembling fear,,other,,personification,,,,,,,,,,φρίκη
greek,phthonus,personification,spirit of envy and jealousy,,other,,personification,,,,,,,,,,φθόνος
greek,pistis,personification,"spirit of trust, honesty, and good faith",,other,,personification,,,,,,,,,,πίστις
greek,poine,personification,"spirit of retribution, vengeance, recompense, punishment, and penalty for the crime of murder and manslaughter",,male,,personification,,,,,,,,,,ποίνη
greek,polemos,personification,personification of war,,other,,personification,,,,,,,,,,πόλεμος
greek,ponos,personification,spirit of hard labour and toil,,other,,personification,,,,,,,,,,πόνος
greek,poros,personification,"spirit of expediency, the means of accomplishing or providing, contrivance and device",,other,,personification,,,,,,,,,,πόρος
greek,praxidike,personification,spirit of exacting justice,,other,,personification,,,,,,,,,,πραξιδίκη
greek,proioxis,personification,spirit of onrush and battlefield pursuit,,other,,personification,,,,,,,,,,προίωξις
greek,prophasis,personification,spirit of excuses and pleas,,other,,personification,,,,,,,,,,πρόφασις
greek,ptocheia,personification,spirit of beggary,,other,,personification,,,,,,,,,,πτωχεία
greek,soter,personification,"male spirit of safety, preservation, and deliverance from harm",,other,,personification,,,,,,,,,,σωτήρ
greek,soteria,personification,"female personification of safety, preservation, and deliverance from harm",,other,,personification,,,,,,,,,,σωτηρία
greek,sophrosyne,personification,"spirit of moderation, self-control, temperance, restraint, and discretion",,other,,personification,,,,,,,,,,σωφροσύνη
greek,thrasos,personification,spirit of boldness,,other,,personification,,,,,,,,,,θράσος
greek,tyche,personification,"goddess of fortune, chance, providence, and fate",,female,,personification,,,,,,,,,,τύχη
greek,zelos,personification,"spirit of eager rivalry, emulation, envy, jealousy, and zeal",,other,,personification,,,,,,,,,,ζῆλος
greek,amphiaraus,god," seer, and one of the seven against thebes who became an oracular spirit of the underworld after his death",,other,,chthonic,,,,,,,,,,ἀμφιάραος
greek,angelos,god, daughter of zeus and hera who became an underworld goddess,,female,,chthonic,,,,,,,,,,ἄγγελος
greek,askalaphos,god, son of acheron and orphne who tended the underworld orchards before being transformed into a screech owl by demeter,,other,,chthonic,,,,,,,,,,ἀσκάλαφος
greek,charon,god,ferryman of hades,,male,,chthonic,,,,,,,,,,χάρων
greek,erebos,god," primeval god of darkness, his mists encircled the underworld and filled the hollows of the earth",,male,,chthonic,,,,,,,,,,ἔρεβος
greek,alecto,god,goddesses of retribution; the unceasing one (furies; ἐρινύες),,female,,chthonic,,,,,,,,,,ἀληκτώ
greek,tisiphone,god,goddesses of retribution; the avenger of murder (furies; ἐρινύες),,female,,chthonic,,,,,,,,,,τισιφόνη
greek,megaera,god,goddesses of retribution; the jealous one (furies; ἐρινύες),,female,,chthonic,,,,,,,,,,μέγαιρα
greek,hecate,god,"goddess of magic, witchcraft, the night, moon, ghosts, and necromancy",,female,,chthonic,,,,,,,,,,ἑκάτη
greek,aiakos,god,"former mortal king of aegina, guardian of the keys of hades and judge of the men of europe",,other,,chthonic,,,,,,,,,,αἰακός
greek,minos,god,former mortal king of crete and judge of the final vote,,other,,chthonic,,,,,,,,,,μίνως
greek,rhadamanthys,god,former mortal lawmaker and judge of the men of asia,,other,,chthonic,,,,,,,,,,ῥαδάμανθυς
greek,keuthonymos,god, underworld spirit and father of menoetes,,other,,chthonic,,,,,,,,,,κευθόνυμος
greek,gorgyra,god, torch-bearing underworld nymph (lampades; λαμπάδες),,female,,nymph,,,,,,,,,,γοργύρα
greek,orphne,god,"lampad nymph of hades, mother of askalaphos (lampades; λαμπάδες)",,female,,nymph,,,,,,,,,,ορφνη
greek,macaria,god,goddess of blessed death and daughter of hades,,female,,chthonic,,,,,,,,,,μακαρία
greek,melinoe,god,daughter of persephone and zeus who presided over the propitiations offered to the ghosts of the dead,,other,,chthonic,,,,,,,,,,μελινόη
greek,menoetes,god, underworld spirit who herded the cattle of hades,,other,,chthonic,,,,,,,,,,μενοίτης
greek,acheron,god, river of woe,,other,,chthonic,,,,,,,,,,αχέρων
greek,kokytos,god, river of wailing,,other,,chthonic,,,,,,,,,,kωκυτός
greek,eridanos,god, river of amber,,other,,chthonic,,,,,,,,,,ἠριδανός
greek,phlegethon,god, river of fire,,other,,chthonic,,,,,,,,,,φλεγέθων
greek,zagreus,god,"underworld god, possibly the son of hades and persephone or zeus and persephone",,male,,chthonic,,,,,,,,,,ζαγρεύς
greek,aegaeon,god,god of violent sea storms and ally of the titans,,male,,sea,,,,,,,,,,αιγαίων
greek,amphitrite,god,sea goddess and consort of poseidon,,female,,sea,,,,,,,,,,αμφιτρίτη
greek,benthesikyme,god,"daughter of poseidon, who resided in ethiopia",,other,,sea,,,,,,,,,,βενθεσικύμη
greek,brizo,god,"patron goddess of sailors, who sent prophetic dreams",,female,,sea,,,,,,,,,,βριζώ
greek,ceto,god,goddess of the dangers of the ocean and of sea monsters,,female,,sea,,,,,,,,,,κῆτώ
greek,cymopoleia,god, daughter of poseidon married to the giant briareus,,other,,sea,,,,,,,,,,κυμοπόλεια
greek,eidothea,god,prophetic sea nymph and daughter of proteus,,female,,nymph,,,,,,,,,,ειδοθέα
greek,glaucus,god, fishermans sea god and oracle,,male,,sea,,,,,,,,,,γλαῦκος
greek,leucothea,god, sea goddess who aided sailors in distress,,female,,sea,,,,,,,,,,λευκοθέα
greek,arethusa,god,sea nymph and  daughter of nereus who was transformed into a fountain,,female,,nymph,,,,,,,,,,αρετούσα
greek,dynamene,god,sea nymph associated with the might and power of great ocean swells,,female,,nymph,,,,,,,,,,δυναμένη
greek,galene,god,sea nymph and goddess of calm seas,,female,,nymph,,,,,,,,,,γαλήνη
greek,psamathe,god,sea nymph and goddess of sand beaches,,female,,nymph,,,,,,,,,,πσαμάθη
greek,thetis,god,sea nymph and leader of the nereids who presided over the spawning of marine life in the sea,,female,,nymph,,,,,,,,,,θέτις
greek,nereus,god,"sea nymph and  old man of the sea, and the god of the seas rich bounty of fish",,female,,nymph,,,,,,,,,,νηρέας
greek,nerites,god, sea spirit who was transformed into a shell-fish by aphrodite,,other,,sea,,,,,,,,,,νερίτης
greek,idyia,god,"sea nymph and wife of the colchian king aeetes, mother of medea",,female,,nymph,,,,,,,,,,ίδυια
greek,palaemon,god, young sea god who aided sailors in distress,,male,,sea,,,,,,,,,,παλαίμων
greek,phorcys,god,god of the hidden dangers of the deep,,male,,sea,,,,,,,,,,φόρκυς
greek,pontos,god,"primeval god of the sea, father of the fish and other sea creatures",,male,,sea,,,,,,,,,,πόντος
greek,proteus,god," shape-shifting, prophetic old sea god, and the herdsman of poseidons seals",,male,,sea,,,,,,,,,,πρωτεύς
greek,sangarius,god, river-god,,male,,sea,,,,,,,,,,σαγγάριος
greek,actaeus,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,ακταίος
greek,argyron,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,αργυρών
greek,atabyrius,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,αταβύριος
greek,chalcon,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,χαλκών
greek,chryson,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,χρυσών
